Time sum_kwh count_users
23203 704.205 985
23205 636.271 985
23207 570.947 985
23209 527.452 985
23211 567.191 985
23213 662.953 985
23215 908.793 985
23217 1246.688 985
23219 1433.397 985
23221 1482.702 985
23223 1509.066 985
23225 1629.159 985
23227 1576.2830000000001 985
23229 1498.391 985
23231 1483.4180000000001 985
23233 1583.63 985
23235 1746.965 985
23237 1667.303 985
23239 1525.056 985
23241 1477.191 985
23243 1660.261 985
23245 1467.544 985
23247 1220.91 985
23301 917.787 985
23303 710.5889999999999 985
23305 646.895 985
23307 593.574 985
23309 543.658 985
23311 576.252 985
23313 662.389 985
23315 871.417 985
23317 1226.491 985
23319 1486.126 985
23321 1559.687 985
23323 1570.123 985
23325 1570.857 985
23327 1515.105 985
23329 1485.066 985
23331 1430.076 985
23333 1550.958 985
23335 1638.614 985
23337 1572.52 985
23339 1400.387 985
23341 1454.432 985
23343 1574.053 985
23345 1429.365 985
23347 1203.725 985
23401 961.54 985
23403 800.749 985
23405 710.858 985
23407 608.065 985
23409 538.414 985
23411 549.137 985
23413 589.667 985
23415 704.615 985
23417 958.204 985
23419 1305.103 985
23421 1460.3700000000001 985
23423 1515.077 985
23425 1522.249 985
23427 1405.585 985
23429 1396.893 985
23431 1335.963 985
23433 1374.948 985
23435 1615.646 985
23437 1555.971 985
23439 1494.173 985
23441 1543.674 985
23443 1486.294 985
23445 1289.71 985
23447 1129.764 985
23501 929.767 985
23503 751.052 985
23505 640.311 985
23507 581.106 985
23509 544.194 985
23511 567.284 985
23513 595.436 985
23515 674.719 985
23517 796.811 985
23519 1023.916 985
23521 1275.733 985
23523 1384.554 985
23525 1513.672 985
23527 1553.562 985
23529 1335.066 985
23531 1234.838 985
23533 1251.358 985
23535 1298.825 985
23537 1338.205 985
23539 1280.863 985
23541 1395.234 985
23543 1559.577 985
23545 1397.421 985
23547 1113.393 985
23601 884.028 985
23603 717.056 985
23605 615.459 985
23607 559.369 985
23609 508.238 985
23611 535.957 985
23613 622.264 985
23615 905.536 985
23617 1164.055 985
23619 1379.251 985
23621 1435.802 985
23623 1526.286 985
23625 1568.265 985
23627 1510.684 985
23629 1460.098 985
23631 1424.153 985
23633 1478.842 985
23635 1759.142 985
23637 1649.736 985
23639 1477.5819999999999 985
23641 1497.005 985
23643 1666.802 985
23645 1476.385 985
23647 1165.624 985
23701 870.51 985
23703 718.441 985
23705 637.931 985
23707 574.223 985
23709 531.345 985
23711 567.748 985
23713 663.511 985
23715 906.925 985
23717 1229.718 985
23719 1415.748 985
23721 1535.559 985
23723 1525.664 985
23725 1529.165 985
23727 1481.723 985
23729 1445.305 985
23731 1418.41 985
23733 1561.012 985
23735 1740.934 985
23737 1681.551 985
23739 1511.06 985
23741 1534.775 985
23743 1650.825 985
23745 1443.363 985
23747 1129.673 985
23801 831.826 983
23803 648.22 983
23805 563.162 983
23807 537.4879999999999 983
23809 523.062 983
23811 556.361 983
23813 645.44 983
23815 924.243 983
23817 1157.692 983
23819 1325.215 983
23821 1559.578 983
23823 1562.824 983
23825 1634.385 983
23827 1487.213 983
23829 1530.138 983
23831 1441.686 983
23833 1528.981 983
23835 1697.694 983
23837 1623.371 983
23839 1532.753 983
23841 1639.663 983
23843 1700.539 983
23845 1478.715 983
23847 1242.71 983
23901 914.576 983
23903 726.146 983
23905 647.433 983
23907 585.458 983
23909 527.35 983
23911 540.093 983
23913 630.422 983
23915 924.182 983
23917 1199.953 983
23919 1408.969 983
23921 1575.135 983
23923 1537.516 983
23925 1543.315 983
23927 1539.535 983
23929 1557.069 983
23931 1495.51 983
23933 1596.627 983
23935 1729.984 983
23937 1601.549 983
23939 1422.256 983
23941 1510.714 983
23943 1644.901 983
23945 1459.285 983
23947 1198.038 983
24001 897.498 982
24003 702.726 982
24005 621.773 982
24007 569.247 982
24009 522.36 982
24011 542.562 982
24013 647.988 982
24015 911.261 982
24017 1166.393 982
24019 1363.969 982
24021 1513.04 982
24023 1546.115 982
24025 1512.418 982
24027 1533.548 982
24029 1532.528 982
24031 1442.076 982
24033 1503.894 982
24035 1607.634 982
24037 1577.328 982
24039 1452.1970000000001 982
24041 1498.518 982
24043 1606.414 982
24045 1438.962 982
24047 1183.479 982
24101 920.099 983
24103 773.838 983
24105 661.607 983
24107 579.401 983
24109 553.079 983
24111 535.053 983
24113 611.299 983
24115 695.468 983
24117 910.413 983
24119 1200.227 983
24121 1461.685 983
24123 1538.698 983
24125 1606.648 983
24127 1455.607 983
24129 1415.257 983
24131 1403.282 983
24133 1466.459 983
24135 1541.845 983
24137 1507.256 983
24139 1363.656 983
24141 1468.822 983
24143 1596.079 983
24145 1363.376 983
24147 1126.7259999999999 983
24201 896.975 983
24203 727.893 983
24205 636.016 983
24207 578.754 983
24209 545.693 983
24211 531.486 983
24213 594.696 983
24215 662.263 983
24217 799.248 983
24219 1090.463 983
24221 1306.736 983
24223 1377.968 983
24225 1521.827 983
24227 1528.052 983
24229 1417.992 983
24231 1272.061 983
24233 1286.593 983
24235 1392.041 983
24237 1508.525 983
24239 1471.132 983
24241 1560.438 983
24243 1654.675 983
24245 1396.948 983
24247 1132.495 983
24301 858.283 983
24303 710.811 983
24305 623.71 983
24307 546.43 983
24309 521.12 983
24311 537.021 983
24313 660.733 983
24315 1002.127 983
24317 1234.451 983
24319 1405.884 983
24321 1499.394 983
24323 1576.65 983
24325 1668.013 983
24327 1608.786 983
24329 1553.644 983
24331 1545.02 983
24333 1763.556 983
24335 1792.217 983
24337 1748.426 983
24339 1645.257 983
24341 1721.721 983
24343 1766.153 983
24345 1557.085 983
24347 1207.482 983
24401 851.156 983
24403 677.737 983
24405 616.779 983
24407 576.44 983
24409 525.735 983
24411 565.945 983
24413 688.846 983
24415 1087.894 983
24417 1308.438 983
24419 1412.342 983
24421 1529.732 983
24423 1527.443 983
24425 1575.705 983
24427 1470.421 983
24429 1501.715 983
24431 1516.526 983
24433 1632.229 983
24435 1827.225 983
24437 1708.327 983
24439 1566.128 983
24441 1686.546 983
24443 1785.867 983
24445 1487.058 983
24447 1103.508 983
24501 775.87 983
24503 608.691 983
24505 550.145 983
24507 512.085 983
24509 523.631 983
24511 552.79 983
24513 683.074 983
24515 1108.799 983
24517 1274.75 983
24519 1440.374 983
24521 1499.634 983
24523 1582.032 983
24525 1621.457 983
24527 1591.222 983
24529 1598.782 983
24531 1612.825 983
24533 1767.306 983
24535 1975.724 983
24537 1819.818 983
24539 1759.987 983
24541 1851.316 983
24543 1855.001 983
24545 1546.894 983
24547 1180.35 983
24601 841.864 982
24603 677.201 982
24605 610.061 982
24607 575.962 982
24609 528.298 982
24611 555.583 982
24613 703.317 982
24615 1080.732 982
24617 1265.105 982
24619 1467.414 982
24621 1485.219 982
24623 1549.153 982
24625 1542.652 982
24627 1439.033 982
24629 1479.238 982
24631 1548.575 982
24633 1662.349 982
24635 1788.803 982
24637 1697.651 982
24639 1617.581 982
24641 1690.729 982
24643 1760.4569999999999 982
24645 1493.8799999999999 982
24647 1185.312 982
24701 850.192 982
24703 681.734 982
24705 619.894 982
24707 580.787 982
24709 539.591 982
24711 550.071 982
24713 682.61 982
24715 1073.434 982
24717 1294.711 982
24719 1419.701 982
24721 1489.224 982
24723 1480.681 982
24725 1519.552 982
24727 1505.232 982
24729 1494.939 982
24731 1475.808 982
24733 1580.933 982
24735 1687.489 982
24737 1562.796 982
24739 1530.149 982
24741 1629.636 982
24743 1724.36 982
24745 1450.409 982
24747 1256.555 982
24801 975.503 982
24803 790.61 982
24805 678.288 982
24807 606.27 982
24809 527.78 982
24811 547.828 982
