Time sum_kwh count_users mean_kwh Date Hour
41445 10882.61 6216 1.7507416344916347 414 22
41447 9891.190999999999 6216 1.5912469433719432 414 23
41501 7639.608 6216 1.229023166023166 415 0
41503 6177.873 6216 0.9938663127413127 415 1
41505 5433.621999999999 6216 0.8741348133848132 415 2
41507 5028.688 6216 0.808990990990991 415 3
41509 4812.546 6216 0.774219111969112 415 4
41511 5040.108 6216 0.8108281853281853 415 5
41513 6017.764999999999 6216 0.9681089124839124 415 6
41515 7956.994 6216 1.2800826898326898 415 7
41517 9765.476 6216 1.5710225225225227 415 8
41519 11795.662 6216 1.897629021879022 415 9
41521 12471.880000000001 6216 2.0064157014157016 415 10
41523 12707.595 6216 2.0443363899613898 415 11
41525 12815.177 6216 2.0616436615186613 415 12
41527 12414.314 6216 1.997154761904762 415 13
41529 11936.944 6216 1.9203577863577863 415 14
41531 11902.359 6216 1.914793918918919 415 15
41533 12591.019 6216 2.0255822072072074 415 16
41535 13812.519 6216 2.2220912162162163 415 17
41537 14880.785 6216 2.393948680823681 415 18
41539 14435.916000000001 6216 2.322380308880309 415 19
41541 12904.047 6216 2.0759406370656373 415 20
41543 12484.382 6216 2.0084269626769626 415 21
41545 10951.096 6216 1.7617593307593307 415 22
41547 10231.487000000001 6216 1.6459921171171172 415 23
41601 8189.641 6216 1.3175098133848133 416 0
41603 6633.4529999999995 6216 1.0671578185328185 416 1
41605 5536.021 6216 0.890608268983269 416 2
41607 5045.799 6216 0.8117437258687259 416 3
41609 4803.893 6216 0.7728270592020592 416 4
41611 4833.624 6216 0.7776100386100385 416 5
41613 5234.948 6216 0.8421731016731018 416 6
41615 6233.195 6216 1.0027662483912483 416 7
41617 7576.645 6216 1.2188939832689833 416 8
41619 10019.643 6216 1.6119116795366795 416 9
41621 11541.092 6216 1.8566750321750323 416 10
41623 11923.448 6216 1.9181866151866152 416 11
41625 12293.776 6216 1.9777631917631917 416 12
41627 11847.865 6216 1.906027187902188 416 13
41629 11419.148000000001 6216 1.8370572715572717 416 14
41631 11280.593 6216 1.8147672136422137 416 15
41633 11744.666000000001 6216 1.8894250321750323 416 16
41635 13276.751 6216 2.1358994530244533 416 17
41637 14821.236 6216 2.384368725868726 416 18
41639 14166.088 6216 2.278971685971686 416 19
41641 13120.047 6216 2.1106896718146717 416 20
41643 11809.628 6216 1.8998758043758044 416 21
41645 10585.119999999999 6216 1.7028828828828828 416 22
41647 9958.366 6216 1.6020537323037323 416 23
41701 8251.624 6216 1.3274813384813384 417 0
41703 6768.044 6216 1.0888101673101673 417 1
41705 5745.896 6216 0.9243719433719433 417 2
41707 5162.526 6216 0.8305222007722007 417 3
41709 4824.598 6216 0.7761579794079794 417 4
41711 4800.002 6216 0.772201093951094 417 5
41713 4959.73 6216 0.7978973616473616 417 6
41715 5515.534 6216 0.8873124195624195 417 7
41717 6532.18 6216 1.0508655083655085 417 8
41719 8443.722 6216 1.358385135135135 417 9
41721 10173.664 6216 1.6366898326898327 417 10
41723 11433.052 6216 1.8392940797940798 417 11
41725 12279.631 6216 1.9754876126126124 417 12
41727 11955.458999999999 6216 1.9233363899613898 417 13
41729 10956.056 6216 1.7625572715572717 417 14
41731 10334.335 6216 1.6625378056628055 417 15
41733 10512.118 6216 1.6911386743886745 417 16
41735 11919.874 6216 1.9176116473616474 417 17
41737 14042.007 6216 2.259010135135135 417 18
41739 13989.841 6216 2.2506179214929216 417 19
41741 13113.188 6216 2.1095862290862293 417 20
41743 12122.367999999999 6216 1.950187902187902 417 21
41745 10610.108 6216 1.7069028314028314 417 22
41747 9316.599999999999 6216 1.4988095238095236 417 23
41801 7257.245 6213 1.1680741992596169 418 0
41803 5981.317 6213 0.9627099629808467 418 1
41805 5294.405 6213 0.8521495251891196 418 2
41807 4981.969 6213 0.8018620634154193 418 3
41809 4824.293 6213 0.776483663286657 418 4
41811 4986.334 6213 0.8025646225655882 418 5
41813 5939.249 6213 0.9559389988733301 418 6
41815 8669.795 6213 1.3954281345565749 418 7
41817 10245.556 6213 1.6490513439562209 418 8
41819 11501.757000000001 6213 1.8512404635441817 418 9
41821 12030.11 6213 1.9362803798487045 418 10
41823 12287.457 6213 1.9777011105746016 418 11
41825 12506.851 6213 2.0130131981329473 418 12
41827 12040.808 6213 1.9380022533397716 418 13
41829 11695.667 6213 1.8824508289071302 418 14
41831 12204.321 6213 1.9643201352003863 418 15
41833 13224.912 6213 2.1285871559633027 418 16
41835 14541.121 6213 2.340434733623048 418 17
41837 15251.190999999999 6213 2.45472251730243 418 18
41839 14979.776 6213 2.4110375020119106 418 19
41841 13897.861 6213 2.2369002092386934 418 20
41843 12886.598 6213 2.0741345565749234 418 21
41845 10967.222 6213 1.7652055367777242 418 22
41847 9471.884 6213 1.5245266376951554 418 23
41901 7242.764 6210 1.1663066022544284 419 0
41903 6032.823 6210 0.9714690821256039 419 1
41905 5419.656 6210 0.8727304347826087 419 2
41907 5115.08 6210 0.8236843800322061 419 3
41909 4933.2080000000005 6210 0.794397423510467 419 4
41911 5135.911 6210 0.827038808373591 419 5
41913 6276.636 6210 1.0107304347826087 419 6
41915 9035.732 6210 1.455029307568438 419 7
41917 10559.72 6210 1.700438003220612 419 8
41919 11768.348 6210 1.8950640901771336 419 9
41921 12245.784 6210 1.9719458937198067 419 10
41923 12363.947 6210 1.9909737520128825 419 11
41925 12831.487000000001 6210 2.0662619967793883 419 12
41927 12585.128 6210 2.026590660225443 419 13
41929 12474.157 6210 2.0087209339774557 419 14
41931 13397.359 6210 2.1573847020933976 419 15
41933 14572.599 6210 2.346634299516908 419 16
41935 15750.144 6210 2.536255072463768 419 17
41937 15505.55 6210 2.496867954911433 419 18
41939 15064.802 6210 2.425894041867955 419 19
41941 14376.609 6210 2.3150739130434785 419 20
41943 13068.342 6210 2.104402898550725 419 21
41945 11041.159 6210 1.7779644122383251 419 22
41947 9447.142 6210 1.5212789049919484 419 23
42001 7222.234 6209 1.163187952971493 420 0
42003 5927.039 6209 0.9545883395071669 420 1
42005 5349.957 6209 0.8616455145756161 420 2
42007 5090.784 6209 0.819904010307618 420 3
42009 4931.585999999999 6209 0.7942641327105813 420 4
42011 5091.309 6209 0.8199885649863102 420 5
42013 6131.533 6209 0.9875234337252377 420 6
42015 9011.502 6209 1.4513612497986794 420 7
42017 10370.821 6209 1.6702884522467385 420 8
42019 11474.438 6209 1.8480331776453536 420 9
42021 11737.866 6209 1.8904599774520856 420 10
42023 12023.414 6209 1.9364493477210503 420 11
42025 12444.797999999999 6209 2.0043159929135124 420 12
42027 12194.851999999999 6209 1.9640605572555965 420 13
42029 12062.921 6209 1.9428122080850379 420 14
42031 12464.954 6209 2.0075622483491706 420 15
42033 13683.77 6209 2.2038605250442904 420 16
42035 15233.997 6209 2.4535347076823966 420 17
42037 15284.743999999999 6209 2.461707843453052 420 18
42039 14747.206999999999 6209 2.3751339990336606 420 19
42041 14030.493 6209 2.2597025285875345 420 20
42043 12821.404999999999 6209 2.0649710098244483 420 21
42045 11067.886999999999 6209 1.782555483974875 420 22
42047 9517.780999999999 6209 1.532900789177001 420 23
42101 7289.16 6207 1.1743450942484293 421 0
42103 6046.579 6207 0.9741548251973577 421 1
42105 5388.585 6207 0.8681464475592073 421 2
42107 5075.311 6207 0.8176753665216691 421 3
42109 4925.352 6207 0.7935157080715322 421 4
42111 5122.55 6207 0.825285967456098 421 5
42113 6201.277 6207 0.9990779764781698 421 6
42115 9011.089 6207 1.4517623650716933 421 7
42117 10375.503 6207 1.6715809569840503 421 8
42119 11473.434000000001 6207 1.8484668922184633 421 9
42121 11781.824 6207 1.8981511197035605 421 10
42123 11856.902 6207 1.910246818108587 421 11
42125 12262.036 6207 1.9755173191557918 421 12
42127 11928.304 6207 1.9217502819397454 421 13
42129 11674.583 6207 1.8808736909940391 421 14
42131 12122.579 6207 1.9530496213951989 421 15
42133 13185.293 6207 2.124261801192202 421 16
42135 13976.724 6207 2.2517680038666024 421 17
42137 14705.391 6207 2.3691623972933784 421 18
42139 14713.422999999999 6207 2.370456420170775 421 19
42141 13943.321 6207 2.2463864991139038 421 20
42143 12889.071 6207 2.076537941034316 421 21
42145 11238.002 6207 1.8105368132753343 421 22
42147 9708.886 6207 1.5641833413887547 421 23
42201 7458.710999999999 6207 1.2016611889801836 422 0
42203 6027.134 6207 0.971022071854358 422 1
42205 5344.255999999999 6207 0.8610046721443531 422 2
42207 5109.389999999999 6207 0.8231657805703237 422 3
42209 4950.09 6207 0.7975012083131948 422 4
42211 5040.674 6207 0.8120950539713226 422 5
42213 6015.648999999999 6207 0.9691717415820846 422 6
42215 8806.504 6207 1.4188019977444821 422 7
42217 10226.958999999999 6207 1.6476492669566616 422 8
42219 11373.65 6207 1.8323908490414047 422 9
42221 11718.289 6207 1.8879150958595137 422 10
42223 11769.243 6207 1.8961242145964234 422 11
42225 11965.498 6207 1.9277425487352988 422 12
42227 11609.872 6207 1.8704482036410504 422 13
42229 11501.539 6207 1.852994844530369 422 14
42231 11807.957999999999 6207 1.902361527307878 422 15
42233 12684.386 6207 2.043561462864508 422 16
42235 13430.758 6207 2.163808280973095 422 17
42237 14369.565999999999 6207 2.3150581601417755 422 18
42239 14431.453 6207 2.3250286772998225 422 19
42241 13611.04 6207 2.1928532302239407 422 20
42243 12384.014 6207 1.9951690027388431 422 21
42245 10909.481 6207 1.757609312067021 422 22
42247 10191.108 6207 1.6418733687771871 422 23
42301 8194.69 6207 1.3202336072176575 423 0
42303 6579.337 6207 1.0599866280006445 423 1
42305 5618.099 6207 0.9051230868374416 423 2
42307 5126.532 6207 0.8259275012083133 423 3
42309 4773.245 6207 0.7690099887224101 423 4
42311 4786.784 6207 0.7711912357016272 423 5
42313 5103.052 6207 0.8221446753665216 423 6
42315 6216.651 6207 1.001554857419043 423 7
42317 7665.164 6207 1.2349225068471081 423 8
42319 9882.946 6207 1.592225874013211 423 9
42321 11105.391 6207 1.7891720637989366 423 10
42323 11652.087 6207 1.8772493958434024 423 11
42325 11934.418000000001 6207 1.9227352988561304 423 12
42327 11784.64 6207 1.8986048010310939 423 13
42329 11210.936 6207 1.8061762526180118 423 14
42331 11166.449 6207 1.7990090220718544 423 15
42333 11523.903999999999 6207 1.8565980344772028 423 16
42335 12008.542000000001 6207 1.934677299822781 423 17
42337 13985.821 6207 2.2532336072176573 423 18
42339 13784.838 6207 2.2208535524407926 423 19
42341 12909.106 6207 2.0797657483486387 423 20
42343 11751.555 6207 1.893274528757854 423 21
42345 10345.244999999999 6207 1.6667061382310293 423 22
42347 9637.073 6207 1.5526136619945223 423 23
42401 8012.498 6207 1.2908809408732076 424 0
42403 6641.182 6207 1.069950378604801 424 1
42405 5726.775 6207 0.922631706138231 424 2
42407 5196.908 6207 0.8372656677944257 424 3
42409 4863.7119999999995 6207 0.7835849846946995 424 4
42411 4836.6990000000005 6207 0.7792329627839537 424 5
42413 4990.662 6207 0.8040376993716771 424 6
42415 5540.38 6207 0.8926019010794265 424 7
42417 6540.9220000000005 6207 1.0537976478169808 424 8
42419 8473.756 6207 1.3651934912195907 424 9
42421 9924.651 6207 1.598944900918318 424 10
42423 10790.344000000001 6207 1.7384153375221525 424 11
42425 11661.857 6207 1.8788234251651361 424 12
42427 11327.8 6207 1.8250040277106492 424 13
42429 10453.7 6207 1.6841791525696794 424 14
42431 9974.403999999999 6207 1.606960528435637 424 15
42433 10250.165 6207 1.6513879490897376 424 16
42435 11234.324 6207 1.8099442564846142 424 17
42437 13096.16 6207 2.109901723860158 424 18
42439 13779.854 6207 2.220050588045755 424 19
42441 13014.047 6207 2.0966726276784278 424 20
42443 11954.099 6207 1.9259060737876592 424 21
42445 10250.207999999999 6207 1.6513948767520539 424 22
42447 9058.144 6207 1.4593433220557435 424 23
42501 7131.267 6208 1.1487221327319588 425 0
42503 5870.126 6208 0.9455744201030928 425 1
42505 5174.855 6208 0.8335784471649483 425 2
42507 4889.0 6208 0.7875322164948454 425 3
42509 4738.1939999999995 6208 0.7632400128865978 425 4
42511 4895.748 6208 0.7886192010309278 425 5
42513 5877.21 6208 0.9467155283505154 425 6
42515 8404.497 6208 1.3538171713917524 425 7
42517 9930.435 6208 1.5996190399484536 425 8
42519 11028.177 6208 1.776446037371134 425 9
42521 11409.618999999999 6208 1.8378896585051545 425 10
42523 11394.485 6208 1.8354518363402064 425 11
42525 11428.813999999998 6208 1.840981636597938 425 12
42527 11038.253 6208 1.7780691043814434 425 13
42529 10626.673 6208 1.7117707796391755 425 14
42531 11042.318 6208 1.7787239046391752 425 15
42533 12245.605 6208 1.9725523518041237 425 16
42535 13287.921999999999 6208 2.140451353092783 425 17
42537 14040.8 6208 2.261726804123711 425 18
42539 14495.958 6208 2.335044780927835 425 19
42541 13536.374 6208 2.1804726159793812 425 20
42543 12485.897 6208 2.011259181701031 425 21
42545 10690.457 6208 1.7220452641752577 425 22
42547 9265.798 6208 1.4925576675257732 425 23
42601 7056.126 6208 1.1366182345360825 426 0
42603 5815.988 6208 0.9368537371134021 426 1
42605 5249.5779999999995 6208 0.8456150128865979 426 2
42607 4960.648 6208 0.7990734536082474 426 3
42609 4841.636 6208 0.7799027061855671 426 4
42611 4988.395 6208 0.8035430090206186 426 5
42613 6105.562 6208 0.9834990335051547 426 6
42615 8751.149 6208 1.4096567332474226 426 7
42617 10044.861 6208 1.6180510631443301 426 8
42619 11170.879 6208 1.7994328286082475 426 9
42621 11484.99 6208 1.850030605670103 426 10
42623 11535.64 6208 1.8581894329896906 426 11
42625 11696.288 6208 1.8840670103092785 426 12
42627 11228.822 6208 1.8087664304123712 426 13
42629 11094.879 6208 1.7871905605670104 426 14
42631 11649.419 6208 1.8765172358247422 426 15
42633 12904.253 6208 2.07864900128866 426 16
42635 13968.401 6208 2.250064594072165 426 17
42637 14483.568 6208 2.333048969072165 426 18
42639 14411.849 6208 2.321496295103093 426 19
42641 13655.477 6208 2.199658021907217 426 20
42643 12561.349 6208 2.023413176546392 426 21
42645 10743.992999999999 6208 1.7306689755154636 426 22
42647 9147.161 6208 1.4734473260309278 426 23
42701 6922.407 6206 1.115437802126974 427 0
42703 5694.171 6206 0.917526748308089 427 1
42705 5110.633 6206 0.8234987109249113 427 2
42707 4824.471 6206 0.7773881727360618 427 3
42709 4726.484 6206 0.761599097647438 427 4
42711 4871.603 6206 0.7849827586206897 427 5
42713 5966.289 6206 0.9613743151788592 427 6
42715 8753.551 6206 1.410498066387367 427 7
42717 10142.644 6206 1.634328714147599 427 8
42719 11097.43 6206 1.788177570093458 427 9
42721 11566.236 6206 1.8637183370931358 427 10
42723 11543.546 6206 1.860062197873026 427 11
42725 11722.881 6206 1.8889592330003222 427 12
42727 11699.457 6206 1.8851848211408315 427 13
42729 11534.783 6206 1.8586501772478246 427 14
42731 11856.427 6206 1.9104780857234933 427 15
42733 13016.415 6206 2.0973920399613277 427 16
42735 13881.112000000001 6206 2.236724460199807 427 17
42737 14370.755000000001 6206 2.3156227844021915 427 18
42739 14505.574 6206 2.33734676119884 427 19
42741 13678.617 6206 2.2040955526909443 427 20
42743 12576.672999999999 6206 2.0265344827586205 427 21
42745 10705.845000000001 6206 1.7250797615211089 427 22
42747 9366.24 6206 1.509223332259104 427 23
42801 7090.82 6206 1.1425749274895263 428 0
42803 5771.95 6206 0.9300596197228488 428 1
42805 5182.412 6206 0.8350647760232034 428 2
42807 4961.039 6206 0.7993939735739607 428 3
42809 4746.473 6206 0.7648200128907509 428 4
42811 4915.474 6206 0.7920518852723172 428 5
42813 6050.84 6206 0.9749983886561392 428 6
42815 8707.233 6206 1.4030346438930068 428 7
42817 10024.274 6206 1.6152552368675475 428 8
42819 11014.407 6206 1.774799709958105 428 9
42821 11332.532 6206 1.8260605865291653 428 10
42823 11193.95 6206 1.8037302610377055 428 11
42825 11278.396 6206 1.8173374154044475 428 12
42827 10575.916000000001 6206 1.7041437318723818 428 13
42829 10558.548999999999 6206 1.701345310989365 428 14
42831 10827.699 6206 1.7447146310022559 428 15
42833 11860.55 6206 1.9111424427972927 428 16
42835 12788.514 6206 2.060669352239768 428 17
42837 13683.754 6206 2.204923300032227 428 18
42839 14340.536 6206 2.310753464389301 428 19
42841 13749.517 6206 2.2155199806638737 428 20
42843 12537.232 6206 2.0201791814373187 428 21
42845 10749.568 6206 1.7321250402835964 428 22
42847 9428.163 6206 1.5192012568482114 428 23
42901 7209.367 6206 1.1616769255559136 429 0
42903 5819.9400000000005 6206 0.9377924589107316 429 1
42905 5205.608 6206 0.8388024492426684 429 2
42907 4912.432 6206 0.7915617144698678 429 3
42909 4801.268 6206 0.7736493715758943 429 4
42911 4972.935 6206 0.8013108282307445 429 5
42913 5934.018 6206 0.9561743474057364 429 6
42915 8555.127 6206 1.3785251369642282 429 7
42917 10163.202000000001 6206 1.6376413148565905 429 8
42919 11217.909 6206 1.8075908797937479 429 9
42921 11464.386999999999 6206 1.8473069610054784 429 10
42923 11370.144 6206 1.8321211730583307 429 11
42925 11247.488 6206 1.8123570737995487 429 12
42927 10703.654999999999 6206 1.7247268772155977 429 13
42929 10499.093 6206 1.6917649049307124 429 14
42931 10564.153 6206 1.7022483080889461 429 15
42933 11583.42 6206 1.8664872703834998 429 16
42935 12420.914 6206 2.001436351917499 429 17
42937 13489.163999999999 6206 2.1735681598453107 429 18
42939 14052.062 6206 2.264270383499839 429 19
42941 13105.382 6206 2.111727682887528 429 20
42943 12039.445 6206 1.9399685787947147 429 21
42945 10635.338 6206 1.7137186593619078 429 22
42947 9961.086 6206 1.6050734772800515 429 23
43001 7975.1849999999995 6206 1.285076538833387 430 0
43003 6270.262000000001 6206 1.0103548179181439 430 1
43005 5345.4349999999995 6206 0.8613333870447952 430 2
43007 4827.671 6206 0.7779038027715115 430 3
43009 4598.603 6206 0.7409930712213987 430 4
43011 4587.272 6206 0.7391672574927489 430 5
43013 4911.128 6206 0.7913515952304221 430 6
43015 6071.021 6206 0.978250241701579 430 7
43017 7833.993 6206 1.2623256525942637 430 8
43019 9812.392 6206 1.581113760876571 430 9
43021 10897.135 6206 1.7559031582339673 430 10
43023 11064.989000000001 6206 1.782950209474702 430 11
43025 11465.712 6206 1.8475204640670317 430 12
43027 11218.046 6206 1.8076129552046407 430 13
43029 10691.601999999999 6206 1.7227847244601997 430 14
43031 10539.179 6206 1.6982241379310345 430 15
43033 11193.335 6206 1.8036311633902673 430 16
43035 12182.661 6206 1.96304560103126 430 17
43037 13557.269 6206 2.1845422172091524 430 18
43039 13999.845 6206 2.2558564292620042 430 19
43041 12906.163 6206 2.0796266516274575 430 20
43043 11557.038 6206 1.8622362230099905 430 21
43045 10220.795 6206 1.6469215275539801 430 22
43047 9407.349 6206 1.5158474057363842 430 23
43101 7751.644 6206 1.2490563970351274 431 0
