mean_kwh day hour prediction date holiday
1.5039342571704803 431 15 1.606960528435637 2010-03-08 False
1.5587391234289396 431 16 1.6513879490897376 2010-03-08 False
1.70794247502417 431 17 1.8099442564846144 2010-03-08 False
1.994955849178215 431 18 2.109901723860158 2010-03-08 False
2.1352926200451177 431 19 2.220050588045755 2010-03-08 False
2.032344827586207 431 20 2.096672627678428 2010-03-08 False
1.895448114727683 431 21 1.9259060737876592 2010-03-08 False
1.6196566226232678 431 22 1.651394876752054 2010-03-08 False
1.4027399291008702 431 23 1.4593433220557437 2010-03-08 False
1.1086973896229455 432 0 1.1487221327319588 2010-03-09 False
0.9140873348372542 432 1 0.9455744201030928 2010-03-09 False
0.8097447631324525 432 2 0.8335784471649483 2010-03-09 False
0.7726100547856913 432 3 0.7875322164948454 2010-03-09 False
0.7469287786013536 432 4 0.7632400128865978 2010-03-09 False
0.763900741218176 432 5 0.7886192010309278 2010-03-09 False
0.928562197873026 432 6 0.9467155283505154 2010-03-09 False
1.326962455688044 432 7 1.3538171713917524 2010-03-09 False
1.5780883016435707 432 8 1.5996190399484536 2010-03-09 False
1.753437640992588 432 9 1.776446037371134 2010-03-09 False
1.8207658717370283 432 10 1.8378896585051545 2010-03-09 False
1.812895101514664 432 11 1.8354518363402064 2010-03-09 False
1.846076055430229 432 12 1.840981636597938 2010-03-09 False
1.7552104415082177 432 13 1.7780691043814434 2010-03-09 False
1.6828251691911054 432 14 1.7117707796391757 2010-03-09 False
1.7469946825652594 432 15 1.7787239046391752 2010-03-09 False
1.9404740573638413 432 16 1.972552351804124 2010-03-09 False
2.128106187560425 432 17 2.140451353092783 2010-03-09 False
2.193867869803416 432 18 2.261726804123711 2010-03-09 False
2.3419817918143733 432 19 2.335044780927835 2010-03-09 False
2.1879063809216888 432 20 2.180472615979381 2010-03-09 False
2.013116339026748 432 21 2.011259181701031 2010-03-09 False
1.7042495971640348 432 22 1.7220452641752575 2010-03-09 False
1.4859903319368355 432 23 1.4925576675257732 2010-03-09 False
1.1292747784045123 433 0 1.1366182345360825 2010-03-10 False
0.9238491539081388 433 1 0.936853737113402 2010-03-10 False
0.8345821112006447 433 2 0.8456150128865979 2010-03-10 False
0.793607574536664 433 3 0.7990734536082474 2010-03-10 False
0.763896212731668 433 4 0.7799027061855671 2010-03-10 False
0.7937136180499598 433 5 0.8035430090206186 2010-03-10 False
0.9759021756647864 433 6 0.9834990335051548 2010-03-10 False
1.3932778404512491 433 7 1.4096567332474226 2010-03-10 False
1.6207853344077356 433 8 1.61805106314433 2010-03-10 False
1.7779592264302984 433 9 1.7994328286082475 2010-03-10 False
1.8167234488315875 433 10 1.850030605670103 2010-03-10 False
1.7857286059629331 433 11 1.8581894329896904 2010-03-10 False
1.8410881547139408 433 12 1.8840670103092785 2010-03-10 False
1.726734085414988 433 13 1.8087664304123712 2010-03-10 False
1.686159548751007 433 14 1.7871905605670104 2010-03-10 False
1.7466931506849317 433 15 1.8765172358247424 2010-03-10 False
1.9148992747784048 433 16 2.07864900128866 2010-03-10 False
2.071384528605963 433 17 2.250064594072165 2010-03-10 False
2.148620789685737 433 18 2.333048969072165 2010-03-10 False
2.2955476228847704 433 19 2.321496295103093 2010-03-10 False
2.190604029008864 433 20 2.199658021907217 2010-03-10 False
2.0266800966962126 433 21 2.023413176546392 2010-03-10 False
1.681811120064464 433 22 1.7306689755154636 2010-03-10 False
1.4404559226430296 433 23 1.4734473260309278 2010-03-10 False
1.084441991621012 434 0 1.115437802126974 2010-03-11 False
0.8946282629713181 434 1 0.917526748308089 2010-03-11 False
0.8008736706413149 434 2 0.8234987109249113 2010-03-11 False
0.7676203673864003 434 3 0.7773881727360618 2010-03-11 False
0.7521551724137931 434 4 0.761599097647438 2010-03-11 False
0.7847238156622623 434 5 0.7849827586206897 2010-03-11 False
0.9565733161456657 434 6 0.9613743151788592 2010-03-11 False
1.386016919110538 434 7 1.410498066387367 2010-03-11 False
1.621177570093458 434 8 1.634328714147599 2010-03-11 False
1.7753646471156943 434 9 1.788177570093458 2010-03-11 False
1.820725104737351 434 10 1.863718337093136 2010-03-11 False
1.78795520464067 434 11 1.860062197873026 2010-03-11 False
1.827979213664196 434 12 1.8889592330003224 2010-03-11 False
1.755136480825008 434 13 1.8851848211408315 2010-03-11 False
1.7358499838865613 434 14 1.8586501772478248 2010-03-11 False
1.7750731550112793 434 15 1.910478085723493 2010-03-11 False
1.9568171124718017 434 16 2.097392039961328 2010-03-11 False
2.0861970673541737 434 17 2.236724460199807 2010-03-11 False
2.162937640992588 434 18 2.3156227844021915 2010-03-11 False
2.3120820174025134 434 19 2.33734676119884 2010-03-11 False
2.22476007089913 434 20 2.2040955526909443 2010-03-11 False
2.0151943280696103 434 21 2.0265344827586205 2010-03-11 False
1.7136474379632614 434 22 1.7250797615211089 2010-03-11 False
1.443570899129874 434 23 1.509223332259104 2010-03-11 False
1.1101925555913632 435 0 1.1425749274895265 2010-03-12 False
0.9124186271350304 435 1 0.9300596197228488 2010-03-12 False
0.8253631969062197 435 2 0.8350647760232034 2010-03-12 False
0.7810315823396713 435 3 0.7993939735739607 2010-03-12 False
0.7537861746696745 435 4 0.7648200128907509 2010-03-12 False
0.7846284241057042 435 5 0.7920518852723172 2010-03-12 False
0.975524814695456 435 6 0.9749983886561392 2010-03-12 False
1.3939661617789236 435 7 1.4030346438930068 2010-03-12 False
1.5957228488559458 435 8 1.6152552368675477 2010-03-12 False
1.7475812117305831 435 9 1.774799709958105 2010-03-12 False
1.782309861424428 435 10 1.8260605865291653 2010-03-12 False
1.7662734450531743 435 11 1.8037302610377053 2010-03-12 False
1.8060464067031905 435 12 1.817337415404448 2010-03-12 False
1.704342893973574 435 13 1.7041437318723818 2010-03-12 False
1.6781250402835963 435 14 1.701345310989365 2010-03-12 False
1.7594814695456011 435 15 1.744714631002256 2010-03-12 False
1.914361263293587 435 16 1.9111424427972927 2010-03-12 False
2.055234128262972 435 17 2.060669352239768 2010-03-12 False
2.1230011279407024 435 18 2.204923300032227 2010-03-12 False
2.256325330325492 435 19 2.310753464389301 2010-03-12 False
2.168176603287141 435 20 2.2155199806638737 2010-03-12 False
2.01460232033516 435 21 2.0201791814373187 2010-03-12 False
1.6885710602642603 435 22 1.7321250402835964 2010-03-12 False
1.4606005478569126 435 23 1.5192012568482114 2010-03-12 False
1.1157064323714332 436 0 1.1616769255559136 2010-03-13 False
0.9127302917942932 436 1 0.9377924589107316 2010-03-13 False
0.8248157343221023 436 2 0.8388024492426684 2010-03-13 False
0.7692809930678705 436 3 0.7915617144698678 2010-03-13 False
0.7491349347090118 436 4 0.7736493715758943 2010-03-13 False
0.7782569724326939 436 5 0.8013108282307445 2010-03-13 False
0.9206306625826214 436 6 0.9561743474057364 2010-03-13 False
1.3322916330807673 436 7 1.3785251369642282 2010-03-13 False
1.5512864742866357 436 8 1.6376413148565905 2010-03-13 False
1.6974791230049977 436 9 1.807590879793748 2010-03-13 False
1.778436401741093 436 10 1.8473069610054784 2010-03-13 False
1.7742103820731905 436 11 1.8321211730583309 2010-03-13 False
1.802501531517008 436 12 1.8123570737995487 2010-03-13 False
1.7149837175560212 436 13 1.7247268772155977 2010-03-13 False
1.716156537159439 436 14 1.6917649049307124 2010-03-13 False
1.7450630340157989 436 15 1.702248308088946 2010-03-13 False
1.848972916330808 436 16 1.8664872703835 2010-03-13 False
1.9762558439464768 436 17 2.001436351917499 2010-03-13 False
2.0849495405448977 436 18 2.1735681598453107 2010-03-13 False
2.2463699822666454 436 19 2.264270383499839 2010-03-13 False
2.080944381750766 436 20 2.111727682887528 2010-03-13 False
1.9333237143317747 436 21 1.9399685787947147 2010-03-13 False
1.6730178945671448 436 22 1.7137186593619078 2010-03-13 False
1.5518457198129938 436 23 1.6050734772800517 2010-03-13 False
1.2357185232951795 437 0 1.285076538833387 2010-03-14 False
0.9875808479767856 437 1 1.010354817918144 2010-03-14 False
0.8386554892793809 437 2 0.8613333870447952 2010-03-14 False
0.7636517813960988 437 3 0.7779038027715115 2010-03-14 False
0.721048524907303 437 4 0.7409930712213987 2010-03-14 False
0.7298491052716427 437 5 0.7391672574927489 2010-03-14 False
0.7925639206835403 437 6 0.7913515952304221 2010-03-14 False
0.9583662743833627 437 7 0.978250241701579 2010-03-14 False
1.234547799451878 437 8 1.2623256525942637 2010-03-14 False
1.5497984846042236 437 9 1.581113760876571 2010-03-14 False
1.711555537643076 437 10 1.7559031582339673 2010-03-14 False
1.7734520393358053 437 11 1.782950209474702 2010-03-14 False
1.8263382234402707 437 12 1.847520464067032 2010-03-14 False
1.7584813799774304 437 13 1.8076129552046407 2010-03-14 False
1.7166367886506528 437 14 1.7227847244601997 2010-03-14 False
1.646877639851685 437 15 1.6982241379310343 2010-03-14 False
1.7168129937127197 437 16 1.8036311633902675 2010-03-14 False
1.89798855392552 437 17 1.96304560103126 2010-03-14 False
2.027042882476221 437 18 2.1845422172091524 2010-03-14 False
2.1314206029340643 437 19 2.255856429262004 2010-03-14 False
1.9940754473641784 437 20 2.079626651627457 2010-03-14 False
1.813317427051427 437 21 1.8622362230099905 2010-03-14 False
1.5900688376591972 437 22 1.64692152755398 2010-03-14 False
1.4691792680960825 437 23 1.5158474057363842 2010-03-14 False
1.2060973722392392 438 0 1.2490563970351274 2010-03-15 False
0.9824007738191198 438 1 1.0171269738962294 2010-03-15 False
0.8394613896501693 438 2 0.8701166612955203 2010-03-15 False
0.7622194099629213 438 3 0.7910530132130196 2010-03-15 False
0.7227115911655649 438 4 0.7484680953915567 2010-03-15 False
0.7200177333548283 438 5 0.7436385755720271 2010-03-15 False
0.7597610833467676 438 6 0.7801102159200772 2010-03-15 False
0.8724515556988554 438 7 0.8775398001933612 2010-03-15 False
1.0610262776076094 438 8 1.0791699967773123 2010-03-15 False
1.3742642269869418 438 9 1.3556854656783757 2010-03-15 False
1.5667285184588102 438 10 1.5796400257815015 2010-03-15 False
1.6383277446396902 438 11 1.6738628746374478 2010-03-15 False
1.7117913912622924 438 12 1.8007774734128263 2010-03-15 False
1.6620498146058358 438 13 1.7460074121817597 2010-03-15 False
1.5194779945187813 438 14 1.5801359974218498 2010-03-15 False
1.441765274867 438 15 1.5039342571704803 2010-03-15 False
1.4275898758665162 438 16 1.5587391234289396 2010-03-15 False
1.5370161212316622 438 17 1.70794247502417 2010-03-15 False
1.7556533935192649 438 18 1.994955849178215 2010-03-15 False
2.008577946155086 438 19 2.1352926200451177 2010-03-15 False
1.933075608576495 438 20 2.032344827586207 2010-03-15 False
1.8206550056424315 438 21 1.895448114727683 2010-03-15 False
1.5717249717878443 438 22 1.6196566226232678 2010-03-15 False
1.3768462034499436 438 23 1.4027399291008702 2010-03-15 False
1.0794121915820027 439 0 1.1086973896229455 2010-03-16 False
0.8909330753104338 439 1 0.9140873348372542 2010-03-16 False
0.7925100790195129 439 2 0.8097447631324525 2010-03-16 False
0.7396036123205935 439 3 0.7726100547856913 2010-03-16 False
0.7155976455410418 439 4 0.7469287786013536 2010-03-16 False
0.7399727463312369 439 5 0.763900741218176 2010-03-16 False
0.8885936139332365 439 6 0.928562197873026 2010-03-16 False
1.2770672472181903 439 7 1.326962455688044 2010-03-16 False
1.5334610546686018 439 8 1.5780883016435707 2010-03-16 False
1.6488301886792454 439 9 1.753437640992588 2010-03-16 False
1.6967535881309466 439 10 1.8207658717370283 2010-03-16 False
1.6905476536042572 439 11 1.812895101514664 2010-03-16 False
1.733249959683922 439 12 1.846076055430229 2010-03-16 False
1.6720862764070312 439 13 1.7552104415082177 2010-03-16 False
1.6618421222383488 439 14 1.6828251691911054 2010-03-16 False
1.742545557168199 439 15 1.7469946825652594 2010-03-16 False
1.8991138526044185 439 16 1.9404740573638413 2010-03-16 False
2.0489706498951783 439 17 2.128106187560425 2010-03-16 False
2.093403322044832 439 18 2.193867869803416 2010-03-16 False
2.2519043702628605 439 19 2.3419817918143733 2010-03-16 False
2.132922270601516 439 20 2.1879063809216888 2010-03-16 False
1.9577408482502825 439 21 2.013116339026748 2010-03-16 False
1.679070472504435 439 22 1.7042495971640348 2010-03-16 False
