Time sum_kwh count_users mean_kwh day hour prediction
36817 6171.119000000001 6243 0.9884861444818196 368 8 1.02297870296237
36819 7958.45 6243 1.2747797533237226 368 9 1.338444835868695
36821 9821.529 6243 1.5732066314271982 368 10 1.6287602882305845
36823 11304.624 6243 1.8107679000480537 368 11 1.7920054443554845
36825 12660.616 6243 2.027969886272625 368 12 1.8802786228983184
36827 12923.573 6243 2.070090181002723 368 13 1.8898845476381103
36829 12191.478 6243 1.952823642479577 368 14 1.7880965572457967
36831 11867.916 6243 1.9009956751561747 368 15 1.7824662930344275
36833 13129.418 6243 2.103062309786962 368 16 2.0123735788630905
36835 15351.551 6243 2.459002242511613 368 17 2.38335228182546
36837 15488.087 6243 2.4808724971968603 368 18 2.425562369895917
36839 14952.137 6243 2.395024347268941 368 19 2.34917870296237
36841 14204.023 6243 2.2751918949223127 368 20 2.184723618895116
36843 13426.123 6243 2.1505883389396123 368 21 2.063700720576461
36845 11915.832 6243 1.9086708313310905 368 22 1.8648541232986389
36847 10827.172 6243 1.7342899247156816 368 23 1.7057044035228182
36901 8454.73 6241 1.3547075789136356 369 0 1.3345852682145718
36903 6755.1 6241 1.082374619452011 369 1 1.0591380304243394
36905 5823.501 6241 0.9331038295145008 369 2 0.8925362690152122
36907 5526.943 6241 0.8855861240185868 369 3 0.8226405124099279
36909 5272.987 6241 0.8448945681781765 369 4 0.7736550840672539
36911 5262.978999999999 6241 0.843290979009774 369 5 0.7698472377902321
36913 6057.386 6241 0.970579394327832 369 6 0.8146422738190552
36915 7694.955 6241 1.2329682743150137 369 7 0.9228975180144116
36917 9318.883 6241 1.4931714468835122 369 8 1.0685172137710168
36919 11895.665 6241 1.9060511136035891 369 9 1.3823393114491591
36921 13480.498 6241 2.1599900656946 369 10 1.6985357886309047
36923 14088.929 6241 2.2574794103509053 369 11 1.8839293835068052
36925 14527.76 6241 2.327793622816856 369 12 1.9760874299439557
36927 14350.869 6241 2.299450248357635 369 13 1.9681582065652523
36929 13995.943 6241 2.242580195481493 369 14 1.8791167333867087
36931 14179.532 6241 2.2719967953853546 369 15 1.8903028022417931
36933 16171.034 6241 2.591096619131549 369 16 2.216330184147318
